Product_Id,Material_Id,Date_Id,Total_Emissions,TS
14,1,788,79.73,1735689600000
5,3,1601,49.3,1735689600000
12,1,1024,53.04,1735689600000
6,1,1067,3.82,1735689600000
10,1,98,64.78,1735689600000
4,3,1026,35.71,1735689600000
7,4,90,23.69,1735689600000
9,3,1063,43.95,1735689600000
1,1,909,38.86,1735689600000
3,1,19,47.51,1735689600000
11,4,974,97.97,1735689600000
8,1,473,37.07,1735689600000
16,2,493,77.67,1735689600000
16,3,1499,55.72,1735689600000
8,2,1492,89.02,1735689600000
10,3,1320,36.14,1735689600000
8,1,1152,25.31,1735689600000
4,2,272,91.19,1735689600000
13,4,1318,5.31,1735689600000
11,2,1511,95.12,1735689600000
15,2,165,56.08,1735689600000
15,2,355,38.26,1735689600000
1,2,128,99.51,1735689600000
9,3,239,6.78,1735689600000
8,3,1794,52.15,1735689600000
8,1,33,4.08,1735689600000
2,2,671,57.55,1735689600000
2,1,8,18.87,1735689600000
14,3,1137,63.46,1735689600000
4,4,1075,98.11,1735689600000
1,3,1715,87.62,1735689600000
9,2,1185,45.73,1735689600000
14,2,812,71.14,1735689600000
14,3,938,77.97,1735689600000
7,1,710,49.99,1735689600000
5,1,1026,53.32,1735689600000
6,2,1634,15.93,1735689600000
7,4,375,37.57,1735689600000
3,1,180,15.08,1735689600000
13,2,543,72.96,1735689600000
12,2,1619,48.22,1735689600000
6,1,690,45.44,1735689600000
12,1,1362,88.71,1735689600000
8,1,736,53.23,1735689600000
14,3,1480,41.5,1735689600000
9,4,766,27.62,1735689600000
12,3,406,8.13,1735689600000
13,1,531,42.4,1735689600000
12,4,687,3.55,1735689600000
5,3,173,29.82,1735689600000
15,1,732,50.85,1735689600000
5,3,1162,96.63,1735689600000
8,1,389,11.83,1735689600000
8,1,78,67.63,1735689600000
14,1,512,50.49,1735689600000
5,2,152,77.93,1735689600000
10,4,96,15.22,1735689600000
1,1,756,9.24,1735689600000
13,3,1212,40.52,1735689600000
3,3,742,79.9,1735689600000
1,1,638,19.98,1735689600000
14,3,1089,77.01,1735689600000
11,3,1440,29.74,1735689600000
8,4,1666,22.47,1735689600000
13,2,85,2.65,1735689600000
2,1,1258,40.47,1735689600000
8,4,1093,38.73,1735689600000
10,1,1079,66.28,1735689600000
9,1,26,8.02,1735689600000
11,4,1492,16.11,1735689600000
13,1,412,2.64,1735689600000
5,4,1787,12.27,1735689600000
1,4,569,65.53,1735689600000
13,4,605,40.86,1735689600000
2,1,777,32.78,1735689600000
15,1,1357,56.23,1735689600000
13,3,1199,99.35,1735689600000
10,4,1036,83.61,1735689600000
9,2,1161,70.26,1735689600000
3,4,446,91.91,1735689600000
4,2,152,4.93,1735689600000
2,2,1369,7.96,1735689600000
3,1,218,47.93,1735689600000
13,4,467,35.57,1735689600000
13,1,1235,93.79,1735689600000
8,4,1030,49.47,1735689600000
3,3,880,54.43,1735689600000
11,3,1707,89.63,1735689600000
7,3,815,45.22,1735689600000
1,3,1558,87.83,1735689600000
10,3,118,26.1,1735689600000
3,3,1610,28.11,1735689600000
7,3,910,33.51,1735689600000
7,3,659,55.21,1735689600000
3,1,1176,22.79,1735689600000
8,3,1582,67.47,1735689600000
8,2,480,15.14,1735689600000
1,3,1406,10.32,1735689600000
7,2,565,87.15,1735689600000
16,3,930,24.45,1735689600000
6,3,1719,39.21,1735689600000
2,4,911,57.58,1735689600000
11,2,1392,53.05,1735689600000
5,1,446,8.53,1735689600000
7,1,1705,87.54,1735689600000
1,2,754,95.16,1735689600000
7,2,329,81.44,1735689600000
6,4,1303,29.1,1735689600000
14,3,3,53.26,1735689600000
2,2,215,34.6,1735689600000
3,2,258,55.91,1735689600000
2,3,73,97.47,1735689600000
6,2,308,31.86,1735689600000
5,4,456,67.21,1735689600000
11,4,1752,33.27,1735689600000
1,2,1102,77.67,1735689600000
8,3,831,33.26,1735689600000
14,4,1585,89.09,1735689600000
9,3,1281,75.42,1735689600000
10,2,555,76.5,1735689600000
6,4,1320,47.48,1735689600000
8,4,516,21.87,1735689600000
1,4,1466,5.11,1735689600000
10,3,566,32.86,1735689600000
4,2,940,4.67,1735689600000
10,4,1014,69.69,1735689600000
2,4,866,67.36,1735689600000
15,1,700,43.62,1735689600000
14,1,323,77.01,1735689600000
5,2,843,54.06,1735689600000
5,1,604,4.95,1735689600000
12,2,1286,14.34,1735689600000
7,2,1051,20.15,1735689600000
14,3,964,34.23,1735689600000
9,3,1056,6.18,1735689600000
12,4,524,60.91,1735689600000
16,3,388,51.69,1735689600000
9,1,695,62.13,1735689600000
12,1,1154,43.8,1735689600000
10,3,14,84.92,1735689600000
3,1,1084,45.95,1735689600000
8,3,893,2.52,1735689600000
6,4,1465,87.43,1735689600000
6,4,722,65.96,1735689600000
5,2,1161,82.48,1735689600000
6,3,1063,95.23,1735689600000
9,1,389,6.04,1735689600000
6,2,327,24.27,1735689600000
9,1,842,7.27,1735689600000
14,4,6,42.74,1735689600000
12,1,464,86.52,1735689600000
2,3,1109,9.08,1735689600000
2,2,1212,47.84,1735689600000
16,4,1056,13.43,1735689600000
14,4,475,77.52,1735689600000
9,3,8,84.3,1735689600000
15,4,1260,5.29,1735689600000
14,1,323,49.16,1735689600000
8,3,1185,24.7,1735689600000
1,1,943,95.29,1735689600000
13,2,460,94.45,1735689600000
11,4,851,61.78,1735689600000
14,4,301,97.38,1735689600000
4,4,1574,35.14,1735689600000
5,1,1200,89.89,1735689600000
3,4,458,44.02,1735689600000
15,1,475,24.35,1735689600000
15,4,1365,94.14,1735689600000
1,1,1808,68.74,1735689600000
14,1,450,7.43,1735689600000
16,3,1077,87.17,1735689600000
12,3,710,70.44,1735689600000
4,4,963,60.89,1735689600000
6,1,346,73.51,1735689600000
14,3,1053,26.09,1735689600000
2,3,1812,60.45,1735689600000
3,2,1004,81.65,1735689600000
5,4,1810,6.36,1735689600000
4,4,1798,13.92,1735689600000
1,2,238,84.4,1735689600000
7,3,208,62.22,1735689600000
1,1,395,53.6,1735689600000
14,1,255,25.58,1735689600000
13,2,1438,30.21,1735689600000
8,3,1170,87.4,1735689600000
3,3,210,42.74,1735689600000
16,3,431,7.38,1735689600000
13,2,1032,89.8,1735689600000
15,2,1042,21.13,1735689600000
11,3,755,82.8,1735689600000
9,1,87,88.3,1735689600000
14,3,1342,49.19,1735689600000
4,4,321,60.25,1735689600000
1,2,1544,53.2,1735689600000
9,3,1822,62.86,1735689600000
5,4,1720,85.65,1735689600000
14,2,797,28.93,1735689600000
3,2,1508,88.49,1735689600000
16,2,44,57.2,1735689600000
10,4,483,12.4,1735689600000
1,4,56,23.47,1735689600000
13,3,1257,60.0,1735689600000
4,4,1286,24.71,1735689600000
9,4,1331,14.01,1735689600000
2,1,192,17.02,1735689600000
11,1,1717,84.64,1735689600000
5,4,106,60.62,1735689600000
13,4,1251,96.39,1735689600000
16,2,1190,35.22,1735689600000
15,4,1498,59.97,1735689600000
12,4,1285,60.3,1735689600000
15,4,140,61.95,1735689600000
4,3,1566,6.86,1735689600000
4,1,474,75.28,1735689600000
12,3,1441,94.87,1735689600000
11,3,1715,53.93,1735689600000
12,4,233,20.06,1735689600000
7,2,1716,75.54,1735689600000
8,2,1707,1.72,1735689600000
4,2,1432,33.5,1735689600000
6,4,884,91.84,1735689600000
16,4,1150,59.25,1735689600000
15,3,602,85.66,1735689600000
13,3,1068,60.86,1735689600000
4,2,255,82.44,1735689600000
3,4,1395,88.07,1735689600000
5,4,617,32.78,1735689600000
5,3,96,13.17,1735689600000
1,3,285,72.41,1735689600000
4,2,1089,44.59,1735689600000
4,4,115,13.55,1735689600000
9,3,1239,59.39,1735689600000
4,1,1791,4.57,1735689600000
6,1,827,20.82,1735689600000
15,1,857,79.04,1735689600000
7,2,1664,2.2,1735689600000
16,4,308,31.03,1735689600000
8,1,11,3.12,1735689600000
6,3,1568,99.75,1735689600000
16,1,1525,58.62,1735689600000
16,1,10,30.04,1735689600000
2,2,1128,92.97,1735689600000
8,3,1159,51.2,1735689600000
1,4,1695,46.01,1735689600000
11,4,1683,59.2,1735689600000
11,1,1677,27.15,1735689600000
3,3,1354,31.22,1735689600000
9,1,75,37.79,1735689600000
3,3,1372,25.2,1735689600000
15,1,214,58.87,1735689600000
2,2,1590,69.89,1735689600000
5,1,171,8.12,1735689600000
1,1,1671,97.14,1735689600000
13,2,394,75.55,1735689600000
5,3,165,80.81,1735689600000
15,3,1015,75.41,1735689600000
2,3,1496,8.93,1735689600000
8,2,188,48.69,1735689600000
4,1,1801,45.12,1735689600000
2,4,438,67.57,1735689600000
13,1,1555,45.42,1735689600000
7,3,107,70.73,1735689600000
7,3,22,68.48,1735689600000
10,2,1092,70.02,1735689600000
11,4,510,62.24,1735689600000
14,4,1039,15.95,1735689600000
7,2,21,76.32,1735689600000
10,1,1004,78.32,1735689600000
7,1,381,90.51,1735689600000
1,1,982,24.14,1735689600000
1,2,266,18.49,1735689600000
3,1,555,39.72,1735689600000
15,2,963,32.74,1735689600000
13,1,1813,81.73,1735689600000
10,4,1388,61.74,1735689600000
7,4,913,76.24,1735689600000
1,3,1102,43.34,1735689600000
7,2,43,10.84,1735689600000
8,3,1316,12.39,1735689600000
1,4,1181,37.97,1735689600000
4,3,747,20.19,1735689600000
10,1,86,82.25,1735689600000
1,2,1059,60.36,1735689600000
13,2,941,69.2,1735689600000
4,3,1259,49.62,1735689600000
16,4,1015,9.73,1735689600000
11,3,1245,24.27,1735689600000
12,1,1747,46.7,1735689600000
5,2,393,20.66,1735689600000
8,3,1823,3.52,1735689600000
15,1,1601,73.21,1735689600000
16,2,718,72.77,1735689600000
6,3,1299,33.71,1735689600000
15,2,167,84.51,1735689600000
13,1,245,43.42,1735689600000
4,4,908,86.6,1735689600000
9,1,181,66.05,1735689600000
9,4,724,58.52,1735689600000
1,2,845,20.87,1735689600000
15,2,965,53.43,1735689600000
7,4,494,89.55,1735689600000
16,2,1050,31.19,1735689600000
8,2,745,87.22,1735689600000
13,2,356,90.97,1735689600000
15,1,1606,33.65,1735689600000
14,3,544,68.62,1735689600000
16,2,1084,90.02,1735689600000
10,4,319,8.49,1735689600000
6,3,30,87.98,1735689600000
5,1,1347,19.89,1735689600000
10,2,636,85.13,1735689600000
11,2,1057,67.04,1735689600000
6,3,250,35.09,1735689600000
3,4,350,15.99,1735689600000
15,2,1225,63.9,1735689600000
14,2,924,84.93,1735689600000
13,3,990,82.36,1735689600000
6,3,1093,63.2,1735689600000
7,1,551,95.67,1735689600000
12,4,317,59.4,1735689600000
7,3,1122,20.59,1735689600000
13,4,503,43.5,1735689600000
13,4,778,34.34,1735689600000
9,4,836,99.2,1735689600000
12,3,1359,38.64,1735689600000
11,4,832,99.28,1735689600000
13,1,1813,52.36,1735689600000
8,3,420,18.06,1735689600000
8,1,1464,8.38,1735689600000
8,2,756,37.66,1735689600000
14,2,157,13.22,1735689600000
12,1,1710,63.82,1735689600000
13,2,1117,41.98,1735689600000
3,3,1465,99.1,1735689600000
7,1,820,93.07,1735689600000
12,4,517,15.77,1735689600000
1,1,1744,40.09,1735689600000
14,1,972,46.7,1735689600000
6,1,32,56.53,1735689600000
3,2,741,78.26,1735689600000
2,1,1101,49.23,1735689600000
12,1,437,42.58,1735689600000
11,2,1275,26.94,1735689600000
9,1,1620,91.17,1735689600000
6,2,721,3.2,1735689600000
10,2,880,82.29,1735689600000
5,4,1509,19.66,1735689600000
10,3,75,68.89,1735689600000
12,4,1607,36.17,1735689600000
12,3,923,97.45,1735689600000
2,1,1765,13.15,1735689600000
3,3,186,19.57,1735689600000
16,2,1823,89.05,1735689600000
15,1,100,58.76,1735689600000
1,2,1473,31.62,1735689600000
11,2,915,1.08,1735689600000
5,1,992,23.53,1735689600000
15,3,42,15.39,1735689600000
8,4,499,21.14,1735689600000
1,3,864,89.74,1735689600000
7,2,689,87.44,1735689600000
3,2,683,70.33,1735689600000
5,1,1394,47.58,1735689600000
4,1,1267,82.89,1735689600000
7,2,1687,50.09,1735689600000
13,3,1601,36.99,1735689600000
8,3,967,28.28,1735689600000
7,2,1214,92.55,1735689600000
4,4,1213,39.31,1735689600000
16,4,1390,49.8,1735689600000
1,4,1121,26.19,1735689600000
14,4,156,88.61,1735689600000
7,2,257,38.94,1735689600000
14,4,667,30.46,1735689600000
5,4,1015,72.04,1735689600000
8,1,1301,19.9,1735689600000
7,4,763,12.7,1735689600000
3,2,27,83.86,1735689600000
11,3,962,74.67,1735689600000
13,4,358,59.46,1735689600000
10,2,1513,25.05,1735689600000
11,4,787,62.7,1735689600000
16,1,957,64.2,1735689600000
6,3,254,33.43,1735689600000
10,3,467,7.68,1735689600000
10,1,743,88.17,1735689600000
10,3,316,46.54,1735689600000
9,3,1654,76.62,1735689600000
14,3,1394,26.13,1735689600000
7,2,575,59.55,1735689600000
14,1,1523,43.45,1735689600000
5,2,1016,38.83,1735689600000
13,1,1703,13.54,1735689600000
3,3,664,25.18,1735689600000
11,4,581,8.85,1735689600000
12,2,1734,30.98,1735689600000
10,1,190,74.43,1735689600000
5,1,1368,61.89,1735689600000
1,1,1475,67.57,1735689600000
1,1,1812,1.83,1735689600000
15,3,760,68.16,1735689600000
4,3,677,50.81,1735689600000
11,3,1810,23.86,1735689600000
6,2,1487,22.06,1759845903857
12,1,1582,8.35,1759845903857
13,1,657,10.45,1759845903857
9,3,1259,17.06,1759845903857
10,1,1582,36.29,1759845903857
12,2,452,10.44,1759845903857
6,3,885,15.18,1759845903857
16,4,1347,93.17,1759845903857
1,1,975,58.08,1759845903857
13,2,1327,84.12,1759845903857
2,4,385,62.71,1759845903857
13,2,414,33.13,1759845903857
8,1,64,73.07,1759845903857
14,3,844,52.75,1759845903857
7,1,1572,73.94,1759845903857
15,1,950,17.38,1759845903857
6,1,478,69.02,1759845903857
15,1,546,43.25,1759845903857
12,2,643,73.13,1759845903857
11,3,1493,75.88,1759845903857
15,1,1620,40.36,1759845903857
15,2,1073,92.59,1759845903857
5,1,1313,21.15,1759845903857
10,3,254,1.79,1759845903857
14,4,669,92.71,1759845903857
1,2,56,30.16,1759845903857
14,3,723,17.53,1759845903857
10,1,1312,3.39,1759845903857
10,1,1053,45.75,1759845903857
8,4,223,81.03,1759845903857
2,3,1355,37.47,1759845903857
1,3,1161,61.31,1759845903857
14,3,110,4.45,1759845903857
9,1,1636,36.1,1759845903857
14,2,1057,8.77,1759845903857
16,3,1545,69.63,1759845903857
16,3,1621,2.26,1759845903857
11,3,974,46.49,1759845903857
9,3,563,96.17,1759845903857
8,4,592,34.08,1759845903857
4,4,1194,47.74,1759845903857
7,1,833,11.43,1759845903857
14,3,1645,50.8,1759845903857
4,4,1236,88.68,1759845903857
5,2,25,53.9,1759845903857
14,2,1138,28.87,1759845903857
12,3,1003,36.1,1759845903857
13,1,789,89.73,1759845903857
13,3,45,24.91,1759845903857
14,1,1296,3.36,1759845903857
16,3,1695,96.61,1759845903857
10,2,476,43.57,1759845903857
15,2,911,35.28,1759845903857
16,2,1524,58.13,1759845903857
1,3,1812,13.53,1759845903857
5,2,1276,95.05,1759845903857
16,2,667,32.05,1759845903857
3,1,236,95.33,1759845903857
8,3,87,22.62,1759845903857
9,1,392,25.62,1759845903857
10,4,740,86.52,1759845903857
4,2,1078,24.29,1759845903857
8,1,1456,81.69,1759845903857
5,2,879,54.85,1759845903857
6,2,445,19.93,1759845903857
16,4,1780,59.3,1759845903857
7,1,291,5.77,1759845903857
9,2,101,2.57,1759845903857
1,4,741,5.92,1759845903857
3,2,1825,40.54,1759845903857
11,2,452,58.11,1759845903857
16,3,793,86.88,1759845903857
16,2,1748,78.83,1759845903857
8,1,230,26.22,1759845903857
16,1,1631,9.14,1759845903857
11,4,167,16.62,1759845903857
15,3,688,21.74,1759845903857
1,2,1256,42.32,1759845903857
2,1,902,35.42,1759845903857
14,4,80,70.29,1759845903857
14,4,1600,70.05,1759845903857
4,1,1112,8.4,1759845903857
1,4,417,4.61,1759845903857
14,2,715,79.15,1759845903857
7,3,707,90.15,1759845903857
7,4,1753,1.46,1759845903857
3,2,1763,27.16,1759845903857
13,2,1695,47.27,1759845903857
12,1,658,36.62,1759845903857
8,2,325,24.78,1759845903857
14,1,833,3.29,1759845903857
9,2,1213,53.64,1759845903857
12,1,1525,13.89,1759845903857
13,2,207,56.58,1759845903857
12,4,146,17.62,1759845903857
5,2,1192,42.69,1759845903857
8,2,1188,68.78,1759845903857
8,4,466,28.12,1759845903857
14,2,1693,1.99,1759845903857
5,1,1687,22.77,1759845903857
