Product Name,Category,Material,Year,Month,Day,Total_Emissions,TS
Beanie,Hat,Denim,2022,10,4,34.9,1735689600000
Sandals,Shoes,Polyester,2022,6,22,26.93,1735689600000
Bucket Hat,Hat,Polyester,2021,6,29,84.61,1735689600000
Polo Shirt,Shirts,Cotton,2022,8,16,80.23,1735689600000
Formal Shirt,Shirts,Polyester,2022,2,21,43.24,1735689600000
Classic T-Shirt,Shirts,Cotton,2020,3,18,61.09,1735689600000
Cowboy Hat,Hat,Denim,2022,12,21,15.4,1735689600000
Shorts,Pants,Denim,2022,5,3,51.45,1735689600000
Sandals,Shoes,Denim,2021,7,2,30.4,1735689600000
Chino Pants,Pants,Denim,2022,2,19,86.11,1735689600000
Cargo Pants,Pants,Denim,2024,3,10,67.49,1735689600000
Leather Boots,Shoes,Cotton,2021,3,13,63.71,1735689600000
Formal Shirt,Shirts,Polyester,2023,7,30,13.35,1735689600000
Sandals,Shoes,Denim,2022,4,30,47.59,1735689600000
Denim Jeans,Pants,Leather,2022,2,1,98.67,1735689600000
Classic T-Shirt,Shirts,Polyester,2021,4,28,94.88,1735689600000
Leather Boots,Shoes,Polyester,2024,3,28,64.86,1735689600000
Tank Top,Shirts,Cotton,2024,11,4,16.02,1735689600000
Baseball Cap,Hat,Polyester,2022,5,17,64.27,1735689600000
Polo Shirt,Shirts,Leather,2023,7,29,57.0,1735689600000
Denim Jeans,Pants,Polyester,2022,1,11,47.4,1735689600000
Running Shoes,Shoes,Cotton,2023,11,10,43.38,1735689600000
Beanie,Hat,Polyester,2024,2,25,60.33,1735689600000
Sandals,Shoes,Denim,2021,11,12,85.15,1735689600000
Formal Shirt,Shirts,Cotton,2024,7,1,75.36,1735689600000
Slip-On Sneakers,Shoes,Leather,2024,5,10,58.36,1735689600000
Bucket Hat,Hat,Cotton,2021,7,21,92.55,1735689600000
Running Shoes,Shoes,Polyester,2024,1,12,7.41,1735689600000
Denim Jeans,Pants,Polyester,2024,8,6,99.14,1735689600000
Formal Shirt,Shirts,Polyester,2024,2,9,6.25,1735689600000
Bucket Hat,Hat,Leather,2023,8,13,20.75,1735689600000
Slip-On Sneakers,Shoes,Polyester,2023,9,2,42.85,1735689600000
Shorts,Pants,Polyester,2024,5,25,11.64,1735689600000
Shorts,Pants,Denim,2021,3,9,62.74,1735689600000
Polo Shirt,Shirts,Leather,2020,6,27,5.75,1735689600000
Formal Shirt,Shirts,Cotton,2024,8,23,29.18,1735689600000
Classic T-Shirt,Shirts,Denim,2020,8,6,7.04,1735689600000
Chino Pants,Pants,Leather,2020,10,3,70.65,1735689600000
Formal Shirt,Shirts,Denim,2023,8,25,67.18,1735689600000
Sandals,Shoes,Leather,2021,7,4,38.48,1735689600000
Shorts,Pants,Denim,2021,3,25,19.63,1735689600000
Cowboy Hat,Hat,Polyester,2024,10,10,74.95,1735689600000
Shorts,Pants,Polyester,2023,1,18,34.7,1735689600000
Beanie,Hat,Cotton,2022,2,26,79.73,1735689600000
Denim Jeans,Pants,Polyester,2024,5,19,49.3,1735689600000
Tank Top,Shirts,Cotton,2022,10,20,53.04,1735689600000
Cargo Pants,Pants,Cotton,2022,12,2,3.82,1735689600000
Formal Shirt,Shirts,Cotton,2020,4,7,64.78,1735689600000
Sandals,Shoes,Polyester,2022,10,22,35.71,1735689600000
Chino Pants,Pants,Denim,2020,3,30,23.69,1735689600000
Classic T-Shirt,Shirts,Polyester,2022,11,28,43.95,1735689600000
Running Shoes,Shoes,Cotton,2022,6,27,38.86,1735689600000
Slip-On Sneakers,Shoes,Cotton,2020,1,19,47.51,1735689600000
Polo Shirt,Shirts,Denim,2022,8,31,97.97,1735689600000
Shorts,Pants,Cotton,2021,4,17,37.07,1735689600000
Bucket Hat,Hat,Leather,2021,5,7,77.67,1735689600000
Bucket Hat,Hat,Polyester,2024,2,7,55.72,1735689600000
Shorts,Pants,Leather,2024,1,31,89.02,1735689600000
Formal Shirt,Shirts,Polyester,2023,8,12,36.14,1735689600000
Shorts,Pants,Cotton,2023,2,25,25.31,1735689600000
Sandals,Shoes,Leather,2020,9,28,91.19,1735689600000
Baseball Cap,Hat,Denim,2023,8,10,5.31,1735689600000
Polo Shirt,Shirts,Leather,2024,2,19,95.12,1735689600000
Cowboy Hat,Hat,Leather,2020,6,13,56.08,1735689600000
Cowboy Hat,Hat,Leather,2020,12,20,38.26,1735689600000
Running Shoes,Shoes,Leather,2020,5,7,99.51,1735689600000
Classic T-Shirt,Shirts,Polyester,2020,8,26,6.78,1735689600000
Shorts,Pants,Polyester,2024,11,28,52.15,1735689600000
Shorts,Pants,Cotton,2020,2,2,4.08,1735689600000
Leather Boots,Shoes,Leather,2021,11,1,57.55,1735689600000
Leather Boots,Shoes,Cotton,2020,1,8,18.87,1735689600000
Beanie,Hat,Polyester,2023,2,10,63.46,1735689600000
Sandals,Shoes,Denim,2022,12,10,98.11,1735689600000
Running Shoes,Shoes,Polyester,2024,9,10,87.62,1735689600000
Classic T-Shirt,Shirts,Leather,2023,3,30,45.73,1735689600000
Beanie,Hat,Leather,2022,3,22,71.14,1735689600000
Beanie,Hat,Polyester,2022,7,26,77.97,1735689600000
Chino Pants,Pants,Cotton,2021,12,10,49.99,1735689600000
Denim Jeans,Pants,Cotton,2022,10,22,53.32,1735689600000
Cargo Pants,Pants,Leather,2024,6,21,15.93,1735689600000
Chino Pants,Pants,Denim,2021,1,9,37.57,1735689600000
Slip-On Sneakers,Shoes,Cotton,2020,6,28,15.08,1735689600000
Baseball Cap,Hat,Leather,2021,6,26,72.96,1735689600000
Tank Top,Shirts,Leather,2024,6,6,48.22,1735689600000
Cargo Pants,Pants,Cotton,2021,11,20,45.44,1735689600000
Tank Top,Shirts,Cotton,2023,9,23,88.71,1735689600000
Shorts,Pants,Cotton,2022,1,5,53.23,1735689600000
Beanie,Hat,Polyester,2024,1,19,41.5,1735689600000
Classic T-Shirt,Shirts,Denim,2022,2,4,27.62,1735689600000
Tank Top,Shirts,Polyester,2021,2,9,8.13,1735689600000
Baseball Cap,Hat,Cotton,2021,6,14,42.4,1735689600000
Tank Top,Shirts,Denim,2021,11,17,3.55,1735689600000
Denim Jeans,Pants,Polyester,2020,6,21,29.82,1735689600000
Cowboy Hat,Hat,Cotton,2022,1,1,50.85,1735689600000
Denim Jeans,Pants,Polyester,2023,3,7,96.63,1735689600000
Shorts,Pants,Cotton,2021,1,23,11.83,1735689600000
Shorts,Pants,Cotton,2020,3,18,67.63,1735689600000
Beanie,Hat,Cotton,2021,5,26,50.49,1735689600000
Denim Jeans,Pants,Leather,2020,5,31,77.93,1735689600000
Formal Shirt,Shirts,Denim,2020,4,5,15.22,1735689600000
Running Shoes,Shoes,Cotton,2022,1,25,9.24,1735689600000
Baseball Cap,Hat,Polyester,2023,4,26,40.52,1735689600000
Slip-On Sneakers,Shoes,Polyester,2022,1,11,79.9,1735689600000
Running Shoes,Shoes,Cotton,2021,9,29,19.98,1735689600000
Beanie,Hat,Polyester,2022,12,24,77.01,1735689600000
Polo Shirt,Shirts,Polyester,2023,12,10,29.74,1735689600000
Shorts,Pants,Denim,2024,7,23,22.47,1735689600000
Baseball Cap,Hat,Leather,2020,3,25,2.65,1735689600000
Leather Boots,Shoes,Cotton,2023,6,11,40.47,1735689600000
Shorts,Pants,Denim,2022,12,28,38.73,1735689600000
Formal Shirt,Shirts,Cotton,2022,12,14,66.28,1735689600000
Classic T-Shirt,Shirts,Cotton,2020,1,26,8.02,1735689600000
Polo Shirt,Shirts,Denim,2024,1,31,16.11,1735689600000
Baseball Cap,Hat,Cotton,2021,2,15,2.64,1735689600000
Denim Jeans,Pants,Denim,2024,11,21,12.27,1735689600000
Running Shoes,Shoes,Denim,2021,7,22,65.53,1735689600000
Baseball Cap,Hat,Denim,2021,8,27,40.86,1735689600000
Leather Boots,Shoes,Cotton,2022,2,15,32.78,1735689600000
Cowboy Hat,Hat,Cotton,2023,9,18,56.23,1735689600000
Baseball Cap,Hat,Polyester,2023,4,13,99.35,1735689600000
Formal Shirt,Shirts,Denim,2022,11,1,83.61,1735689600000
Classic T-Shirt,Shirts,Leather,2023,3,6,70.26,1735689600000
Slip-On Sneakers,Shoes,Denim,2021,3,21,91.91,1735689600000
Sandals,Shoes,Leather,2020,5,31,4.93,1735689600000
Leather Boots,Shoes,Leather,2023,9,30,7.96,1735689600000
Slip-On Sneakers,Shoes,Cotton,2020,8,5,47.93,1735689600000
Baseball Cap,Hat,Denim,2021,4,11,35.57,1735689600000
Baseball Cap,Hat,Cotton,2023,5,19,93.79,1735689600000
Shorts,Pants,Denim,2022,10,26,49.47,1735689600000
Slip-On Sneakers,Shoes,Polyester,2022,5,29,54.43,1735689600000
Polo Shirt,Shirts,Polyester,2024,9,2,89.63,1735689600000
Chino Pants,Pants,Polyester,2022,3,25,45.22,1735689600000
Running Shoes,Shoes,Polyester,2024,4,6,87.83,1735689600000
Formal Shirt,Shirts,Polyester,2020,4,27,26.1,1735689600000
Slip-On Sneakers,Shoes,Polyester,2024,5,28,28.11,1735689600000
Chino Pants,Pants,Polyester,2022,6,28,33.51,1735689600000
Chino Pants,Pants,Polyester,2021,10,20,55.21,1735689600000
Slip-On Sneakers,Shoes,Cotton,2023,3,21,22.79,1735689600000
Shorts,Pants,Polyester,2024,4,30,67.47,1735689600000
Shorts,Pants,Leather,2021,4,24,15.14,1735689600000
Running Shoes,Shoes,Polyester,2023,11,6,10.32,1735689600000
Chino Pants,Pants,Leather,2021,7,18,87.15,1735689600000
Bucket Hat,Hat,Polyester,2022,7,18,24.45,1735689600000
Cargo Pants,Pants,Polyester,2024,9,14,39.21,1735689600000
Leather Boots,Shoes,Denim,2022,6,29,57.58,1735689600000
Polo Shirt,Shirts,Leather,2023,10,23,53.05,1735689600000
Denim Jeans,Pants,Cotton,2021,3,21,8.53,1735689600000
Chino Pants,Pants,Cotton,2024,8,31,87.54,1735689600000
Running Shoes,Shoes,Leather,2022,1,23,95.16,1735689600000
Chino Pants,Pants,Leather,2020,11,24,81.44,1735689600000
Cargo Pants,Pants,Denim,2023,7,26,29.1,1735689600000
Beanie,Hat,Polyester,2020,1,3,53.26,1735689600000
Leather Boots,Shoes,Leather,2020,8,2,34.6,1735689600000
Slip-On Sneakers,Shoes,Leather,2020,9,14,55.91,1735689600000
Leather Boots,Shoes,Polyester,2020,3,13,97.47,1735689600000
Cargo Pants,Pants,Leather,2020,11,3,31.86,1735689600000
Denim Jeans,Pants,Denim,2021,3,31,67.21,1735689600000
Polo Shirt,Shirts,Denim,2024,10,17,33.27,1735689600000
Running Shoes,Shoes,Leather,2023,1,6,77.67,1735689600000
Shorts,Pants,Polyester,2022,4,10,33.26,1735689600000
Beanie,Hat,Denim,2024,5,3,89.09,1735689600000
Classic T-Shirt,Shirts,Polyester,2023,7,4,75.42,1735689600000
Formal Shirt,Shirts,Leather,2021,7,8,76.5,1735689600000
Cargo Pants,Pants,Denim,2023,8,12,47.48,1735689600000
Shorts,Pants,Denim,2021,5,30,21.87,1735689600000
Running Shoes,Shoes,Denim,2024,1,5,5.11,1735689600000
Formal Shirt,Shirts,Polyester,2021,7,19,32.86,1735689600000
Sandals,Shoes,Leather,2022,7,28,4.67,1735689600000
Formal Shirt,Shirts,Denim,2022,10,10,69.69,1735689600000
Leather Boots,Shoes,Denim,2022,5,15,67.36,1735689600000
Cowboy Hat,Hat,Cotton,2021,11,30,43.62,1735689600000
Beanie,Hat,Cotton,2020,11,18,77.01,1735689600000
Denim Jeans,Pants,Leather,2022,4,22,54.06,1735689600000
Denim Jeans,Pants,Cotton,2021,8,26,4.95,1735689600000
Tank Top,Shirts,Leather,2023,7,9,14.34,1735689600000
Chino Pants,Pants,Leather,2022,11,16,20.15,1735689600000
Beanie,Hat,Polyester,2022,8,21,34.23,1735689600000
Classic T-Shirt,Shirts,Polyester,2022,11,21,6.18,1735689600000
Tank Top,Shirts,Denim,2021,6,7,60.91,1735689600000
Bucket Hat,Hat,Polyester,2021,1,22,51.69,1735689600000
Classic T-Shirt,Shirts,Cotton,2021,11,25,62.13,1735689600000
Tank Top,Shirts,Cotton,2023,2,27,43.8,1735689600000
Formal Shirt,Shirts,Polyester,2020,1,14,84.92,1735689600000
Slip-On Sneakers,Shoes,Cotton,2022,12,19,45.95,1735689600000
Shorts,Pants,Polyester,2022,6,11,2.52,1735689600000
Cargo Pants,Pants,Denim,2024,1,4,87.43,1735689600000
Cargo Pants,Pants,Denim,2021,12,22,65.96,1735689600000
Denim Jeans,Pants,Leather,2023,3,6,82.48,1735689600000
Cargo Pants,Pants,Polyester,2022,11,28,95.23,1735689600000
Classic T-Shirt,Shirts,Cotton,2021,1,23,6.04,1735689600000
Cargo Pants,Pants,Leather,2020,11,22,24.27,1735689600000
Classic T-Shirt,Shirts,Cotton,2022,4,21,7.27,1735689600000
Beanie,Hat,Denim,2020,1,6,42.74,1735689600000
Tank Top,Shirts,Cotton,2021,4,8,86.52,1735689600000
Leather Boots,Shoes,Polyester,2023,1,13,9.08,1735689600000
Leather Boots,Shoes,Leather,2023,4,26,47.84,1735689600000
Bucket Hat,Hat,Denim,2022,11,21,13.43,1735689600000
Beanie,Hat,Denim,2021,4,19,77.52,1735689600000
Classic T-Shirt,Shirts,Polyester,2020,1,8,84.3,1735689600000
Cowboy Hat,Hat,Denim,2023,6,13,5.29,1735689600000
Beanie,Hat,Cotton,2020,11,18,49.16,1735689600000
Shorts,Pants,Polyester,2023,3,30,24.7,1735689600000
Running Shoes,Shoes,Cotton,2022,7,31,95.29,1735689600000
Baseball Cap,Hat,Leather,2021,4,4,94.45,1735689600000
Polo Shirt,Shirts,Denim,2022,4,30,61.78,1735689600000
Beanie,Hat,Denim,2020,10,27,97.38,1735689600000
Sandals,Shoes,Denim,2024,4,22,35.14,1735689600000
Denim Jeans,Pants,Cotton,2023,4,14,89.89,1735689600000
Slip-On Sneakers,Shoes,Denim,2021,4,2,44.02,1735689600000
Cowboy Hat,Hat,Cotton,2021,4,19,24.35,1735689600000
Cowboy Hat,Hat,Denim,2023,9,26,94.14,1735689600000
Running Shoes,Shoes,Cotton,2024,12,12,68.74,1735689600000
Beanie,Hat,Cotton,2021,3,25,7.43,1735689600000
Bucket Hat,Hat,Polyester,2022,12,12,87.17,1735689600000
Tank Top,Shirts,Polyester,2021,12,10,70.44,1735689600000
Sandals,Shoes,Denim,2022,8,20,60.89,1735689600000
Cargo Pants,Pants,Cotton,2020,12,11,73.51,1735689600000
Beanie,Hat,Polyester,2022,11,18,26.09,1735689600000
Leather Boots,Shoes,Polyester,2024,12,16,60.45,1735689600000
Slip-On Sneakers,Shoes,Leather,2022,9,30,81.65,1735689600000
Denim Jeans,Pants,Denim,2024,12,14,6.36,1735689600000
Sandals,Shoes,Denim,2024,12,2,13.92,1735689600000
Running Shoes,Shoes,Leather,2020,8,25,84.4,1735689600000
Chino Pants,Pants,Polyester,2020,7,26,62.22,1735689600000
Running Shoes,Shoes,Cotton,2021,1,29,53.6,1735689600000
Beanie,Hat,Cotton,2020,9,11,25.58,1735689600000
Baseball Cap,Hat,Leather,2023,12,8,30.21,1735689600000
Shorts,Pants,Polyester,2023,3,15,87.4,1735689600000
Slip-On Sneakers,Shoes,Polyester,2020,7,28,42.74,1735689600000
Bucket Hat,Hat,Polyester,2021,3,6,7.38,1735689600000
Baseball Cap,Hat,Leather,2022,10,28,89.8,1735689600000
Cowboy Hat,Hat,Leather,2022,11,7,21.13,1735689600000
Polo Shirt,Shirts,Polyester,2022,1,24,82.8,1735689600000
Classic T-Shirt,Shirts,Cotton,2020,3,27,88.3,1735689600000
Beanie,Hat,Polyester,2023,9,3,49.19,1735689600000
Sandals,Shoes,Denim,2020,11,16,60.25,1735689600000
Running Shoes,Shoes,Leather,2024,3,23,53.2,1735689600000
Classic T-Shirt,Shirts,Polyester,2024,12,26,62.86,1735689600000
Denim Jeans,Pants,Denim,2024,9,15,85.65,1735689600000
Beanie,Hat,Leather,2022,3,7,28.93,1735689600000
Slip-On Sneakers,Shoes,Leather,2024,2,16,88.49,1735689600000
Bucket Hat,Hat,Leather,2020,2,13,57.2,1735689600000
Formal Shirt,Shirts,Denim,2021,4,27,12.4,1735689600000
Running Shoes,Shoes,Denim,2020,2,25,23.47,1735689600000
Baseball Cap,Hat,Polyester,2023,6,10,60.0,1735689600000
Sandals,Shoes,Denim,2023,7,9,24.71,1735689600000
Classic T-Shirt,Shirts,Denim,2023,8,23,14.01,1735689600000
Leather Boots,Shoes,Cotton,2020,7,10,17.02,1735689600000
Polo Shirt,Shirts,Cotton,2024,9,12,84.64,1735689600000
Denim Jeans,Pants,Denim,2020,4,15,60.62,1735689600000
Baseball Cap,Hat,Denim,2023,6,4,96.39,1735689600000
Bucket Hat,Hat,Leather,2023,4,4,35.22,1735689600000
Cowboy Hat,Hat,Denim,2024,2,6,59.97,1735689600000
Tank Top,Shirts,Denim,2023,7,8,60.3,1735689600000
Cowboy Hat,Hat,Denim,2020,5,19,61.95,1735689600000
Sandals,Shoes,Polyester,2024,4,14,6.86,1735689600000
Sandals,Shoes,Cotton,2021,4,18,75.28,1735689600000
Tank Top,Shirts,Polyester,2023,12,11,94.87,1735689600000
Polo Shirt,Shirts,Polyester,2024,9,10,53.93,1735689600000
Tank Top,Shirts,Denim,2020,8,20,20.06,1735689600000
Chino Pants,Pants,Leather,2024,9,11,75.54,1735689600000
Shorts,Pants,Leather,2024,9,2,1.72,1735689600000
Sandals,Shoes,Leather,2023,12,2,33.5,1735689600000
Cargo Pants,Pants,Denim,2022,6,2,91.84,1735689600000
Bucket Hat,Hat,Denim,2023,2,23,59.25,1735689600000
Cowboy Hat,Hat,Polyester,2021,8,24,85.66,1735689600000
Baseball Cap,Hat,Polyester,2022,12,3,60.86,1735689600000
Sandals,Shoes,Leather,2020,9,11,82.44,1735689600000
Slip-On Sneakers,Shoes,Denim,2023,10,26,88.07,1735689600000
Denim Jeans,Pants,Denim,2021,9,8,32.78,1735689600000
Denim Jeans,Pants,Polyester,2020,4,5,13.17,1735689600000
Running Shoes,Shoes,Polyester,2020,10,11,72.41,1735689600000
Sandals,Shoes,Leather,2022,12,24,44.59,1735689600000
Sandals,Shoes,Denim,2020,4,24,13.55,1735689600000
Classic T-Shirt,Shirts,Polyester,2023,5,23,59.39,1735689600000
Sandals,Shoes,Cotton,2024,11,25,4.57,1735689600000
Cargo Pants,Pants,Cotton,2022,4,6,20.82,1735689600000
Cowboy Hat,Hat,Cotton,2022,5,6,79.04,1735689600000
Chino Pants,Pants,Leather,2024,7,21,2.2,1735689600000
Bucket Hat,Hat,Denim,2020,11,3,31.03,1735689600000
Shorts,Pants,Cotton,2020,1,11,3.12,1735689600000
Cargo Pants,Pants,Polyester,2024,4,16,99.75,1735689600000
Bucket Hat,Hat,Cotton,2024,3,4,58.62,1735689600000
Bucket Hat,Hat,Cotton,2020,1,10,30.04,1735689600000
Leather Boots,Shoes,Leather,2023,2,1,92.97,1735689600000
Shorts,Pants,Polyester,2023,3,4,51.2,1735689600000
Running Shoes,Shoes,Denim,2024,8,21,46.01,1735689600000
Polo Shirt,Shirts,Denim,2024,8,9,59.2,1735689600000
Polo Shirt,Shirts,Cotton,2024,8,3,27.15,1735689600000
Slip-On Sneakers,Shoes,Polyester,2023,9,15,31.22,1735689600000
Classic T-Shirt,Shirts,Cotton,2020,3,15,37.79,1735689600000
Slip-On Sneakers,Shoes,Polyester,2023,10,3,25.2,1735689600000
Cowboy Hat,Hat,Cotton,2020,8,1,58.87,1735689600000
Leather Boots,Shoes,Leather,2024,5,8,69.89,1735689600000
Denim Jeans,Pants,Cotton,2020,6,19,8.12,1735689600000
Running Shoes,Shoes,Cotton,2024,7,28,97.14,1735689600000
Baseball Cap,Hat,Leather,2021,1,28,75.55,1735689600000
Denim Jeans,Pants,Polyester,2020,6,13,80.81,1735689600000
Cowboy Hat,Hat,Polyester,2022,10,11,75.41,1735689600000
Leather Boots,Shoes,Polyester,2024,2,4,8.93,1735689600000
Shorts,Pants,Leather,2020,7,6,48.69,1735689600000
Sandals,Shoes,Cotton,2024,12,5,45.12,1735689600000
Leather Boots,Shoes,Denim,2021,3,13,67.57,1735689600000
Baseball Cap,Hat,Cotton,2024,4,3,45.42,1735689600000
Chino Pants,Pants,Polyester,2020,4,16,70.73,1735689600000
Chino Pants,Pants,Polyester,2020,1,22,68.48,1735689600000
Formal Shirt,Shirts,Leather,2022,12,27,70.02,1735689600000
Polo Shirt,Shirts,Denim,2021,5,24,62.24,1735689600000
Beanie,Hat,Denim,2022,11,4,15.95,1735689600000
Chino Pants,Pants,Leather,2020,1,21,76.32,1735689600000
Formal Shirt,Shirts,Cotton,2022,9,30,78.32,1735689600000
Chino Pants,Pants,Cotton,2021,1,15,90.51,1735689600000
Running Shoes,Shoes,Cotton,2022,9,8,24.14,1735689600000
Running Shoes,Shoes,Leather,2020,9,22,18.49,1735689600000
Slip-On Sneakers,Shoes,Cotton,2021,7,8,39.72,1735689600000
Cowboy Hat,Hat,Leather,2022,8,20,32.74,1735689600000
Baseball Cap,Hat,Cotton,2024,12,17,81.73,1735689600000
Formal Shirt,Shirts,Denim,2023,10,19,61.74,1735689600000
Chino Pants,Pants,Denim,2022,7,1,76.24,1735689600000
Running Shoes,Shoes,Polyester,2023,1,6,43.34,1735689600000
Chino Pants,Pants,Leather,2020,2,12,10.84,1735689600000
Shorts,Pants,Polyester,2023,8,8,12.39,1735689600000
Running Shoes,Shoes,Denim,2023,3,26,37.97,1735689600000
Sandals,Shoes,Polyester,2022,1,16,20.19,1735689600000
Formal Shirt,Shirts,Cotton,2020,3,26,82.25,1735689600000
Running Shoes,Shoes,Leather,2022,11,24,60.36,1735689600000
Baseball Cap,Hat,Leather,2022,7,29,69.2,1735689600000
Sandals,Shoes,Polyester,2023,6,12,49.62,1735689600000
Bucket Hat,Hat,Denim,2022,10,11,9.73,1735689600000
Polo Shirt,Shirts,Polyester,2023,5,29,24.27,1735689600000
Tank Top,Shirts,Cotton,2024,10,12,46.7,1735689600000
Denim Jeans,Pants,Leather,2021,1,27,20.66,1735689600000
Shorts,Pants,Polyester,2024,12,27,3.52,1735689600000
Cowboy Hat,Hat,Cotton,2024,5,19,73.21,1735689600000
Bucket Hat,Hat,Leather,2021,12,18,72.77,1735689600000
Cargo Pants,Pants,Polyester,2023,7,22,33.71,1735689600000
Cowboy Hat,Hat,Leather,2020,6,15,84.51,1735689600000
Baseball Cap,Hat,Cotton,2020,9,1,43.42,1735689600000
Sandals,Shoes,Denim,2022,6,26,86.6,1735689600000
Classic T-Shirt,Shirts,Cotton,2020,6,29,66.05,1735689600000
Classic T-Shirt,Shirts,Denim,2021,12,24,58.52,1735689600000
Running Shoes,Shoes,Leather,2022,4,24,20.87,1735689600000
Cowboy Hat,Hat,Leather,2022,8,22,53.43,1735689600000
Chino Pants,Pants,Denim,2021,5,8,89.55,1735689600000
Bucket Hat,Hat,Leather,2022,11,15,31.19,1735689600000
Shorts,Pants,Leather,2022,1,14,87.22,1735689600000
Baseball Cap,Hat,Leather,2020,12,21,90.97,1735689600000
Cowboy Hat,Hat,Cotton,2024,5,24,33.65,1735689600000
Beanie,Hat,Polyester,2021,6,27,68.62,1735689600000
Bucket Hat,Hat,Leather,2022,12,19,90.02,1735689600000
Formal Shirt,Shirts,Denim,2020,11,14,8.49,1735689600000
Cargo Pants,Pants,Polyester,2020,1,30,87.98,1735689600000
Denim Jeans,Pants,Cotton,2023,9,8,19.89,1735689600000
Formal Shirt,Shirts,Leather,2021,9,27,85.13,1735689600000
Polo Shirt,Shirts,Leather,2022,11,22,67.04,1735689600000
Cargo Pants,Pants,Polyester,2020,9,6,35.09,1735689600000
Slip-On Sneakers,Shoes,Denim,2020,12,15,15.99,1735689600000
Cowboy Hat,Hat,Leather,2023,5,9,63.9,1735689600000
Beanie,Hat,Leather,2022,7,12,84.93,1735689600000
Baseball Cap,Hat,Polyester,2022,9,16,82.36,1735689600000
Cargo Pants,Pants,Polyester,2022,12,28,63.2,1735689600000
Chino Pants,Pants,Cotton,2021,7,4,95.67,1735689600000
